Wavelength (Angstroms), Normalized intensity, Element
7770.44, 9894, 
7770.442, 9894, 
7770.444, 9895, 
7770.446, 9896, 
7770.448, 9897, 
7770.45, 9898, 
7770.452, 9898, 
7770.454, 9898, 
7770.456, 9899, 
7770.458, 9899, 
7770.46, 9899, 
7770.462, 9899, 
7770.464, 9899, 
7770.466, 9899, 
7770.468, 9899, 
7770.47, 9898, 
7770.472, 9898, 
7770.474, 9898, 
7770.476, 9897, 
7770.478, 9896, 
7770.48, 9896, 
7770.482, 9896, 
7770.484, 9895, 
7770.486, 9894, 
7770.488, 9893, 
7770.49, 9892, 
7770.492, 9891, 
7770.494, 9891, 
7770.496, 9890, 
7770.498, 9889, 
7770.5, 9887, 
7770.502, 9886, 
7770.504, 9885, 
7770.506, 9885, 
7770.508, 9884, 
7770.51, 9883, 
7770.512, 9883, 
7770.514, 9883, 
7770.516, 9882, 
7770.518, 9881, 
7770.52, 9881, 
7770.522, 9880, 
7770.524, 9880, 
7770.526, 9880, 
7770.528, 9880, 
7770.53, 9880, 
7770.532, 9880, 
7770.534, 9880, 
7770.536, 9879, 
7770.538, 9880, 
7770.54, 9880, 
7770.542, 9880, 
7770.544, 9880, 
7770.546, 9881, 
7770.548, 9880, 
7770.55, 9881, 
7770.552, 9881, 
7770.554, 9881, 
7770.556, 9881, 
7770.558, 9881, 
7770.56, 9881, 
7770.562, 9881, 
7770.564, 9881, 
7770.566, 9881, 
7770.568, 9881, 
7770.57, 9881, 
7770.572, 9881, 
7770.574, 9881, 
7770.576, 9881, 
7770.578, 9881, 
7770.58, 9881, 
7770.582, 9881, 
7770.584, 9880, 
7770.586, 9880, 
7770.588, 9880, 
7770.59, 9881, 
7770.592, 9881, 
7770.594, 9880, 
7770.596, 9880, 
7770.598, 9881, 
7770.6, 9880, 
7770.602, 9880, 
7770.604, 9880, 
7770.606, 9880, 
7770.608, 9880, 
7770.61, 9880, 
7770.612, 9880, 
7770.614, 9880, 
7770.616, 9881, 
7770.618, 9880, 
7770.62, 9880, 
7770.622, 9880, 
7770.624, 9880, 
7770.626, 9880, 
7770.628, 9880, 
7770.63, 9880, 
7770.632, 9880, 
7770.634, 9879, 
7770.636, 9879, 
7770.638, 9879, 
7770.64, 9879, 
7770.642, 9879, 
7770.644, 9878, 
7770.646, 9878, 
7770.648, 9878, 
7770.65, 9877, 
7770.652, 9877, 
7770.654, 9876, 
7770.656, 9876, 
7770.658, 9875, 
7770.66, 9875, 
7770.662, 9874, 
7770.664, 9873, 
7770.666, 9874, 
7770.668, 9873, 
7770.67, 9872, 
7770.672, 9873, 
7770.674, 9872, 
7770.676, 9871, 
7770.678, 9871, 
7770.68, 9870, 
7770.682, 9870, 
7770.684, 9868, 
7770.686, 9868, 
7770.688, 9867, 
7770.69, 9866, 
7770.692, 9865, 
7770.694, 9864, 
7770.696, 9863, 
7770.698, 9862, 
7770.7, 9861, 
7770.702, 9860, 
7770.704, 9860, 
7770.706, 9858, 
7770.708, 9858, 
7770.71, 9857, 
7770.712, 9856, 
7770.714, 9855, 
7770.716, 9854, 
7770.718, 9853, 
7770.72, 9852, 
7770.722, 9851, 
7770.724, 9850, 
7770.726, 9849, 
7770.728, 9848, 
7770.73, 9847, 
7770.732, 9846, 
7770.734, 9845, 
7770.736, 9844, 
7770.738, 9842, 
7770.74, 9842, 
7770.742, 9841, 
7770.744, 9839, 
7770.746, 9839, 
7770.748, 9839, 
7770.75, 9838, 
7770.752, 9837, 
7770.754, 9836, 
7770.756, 9836, 
7770.758, 9835, 
7770.76, 9835, 
7770.762, 9834, 
7770.764, 9834, 
7770.766, 9833, 
7770.768, 9833, 
7770.77, 9833, 
7770.772, 9833, 
7770.774, 9833, 
7770.776, 9833, 
7770.778, 9833, 
7770.78, 9833, 
7770.782, 9834, 
7770.784, 9834, 
7770.786, 9834, 
7770.788, 9834, 
7770.79, 9834, 
7770.792, 9834, 
7770.794, 9836, 
7770.796, 9835, 
7770.798, 9836, 
7770.8, 9836, 
7770.802, 9837, 
7770.804, 9838, 
7770.806, 9838, 
7770.808, 9838, 
7770.81, 9839, 
7770.812, 9840, 
7770.814, 9840, 
7770.816, 9841, 
7770.818, 9841, 
7770.82, 9842, 
7770.822, 9843, 
7770.824, 9843, 
7770.826, 9843, 
7770.828, 9844, 
7770.83, 9845, 
7770.832, 9846, 
7770.834, 9847, 
7770.836, 9848, 
7770.838, 9848, 
7770.84, 9849, 
7770.842, 9850, 
7770.844, 9850, 
7770.846, 9850, 
7770.848, 9851, 
7770.85, 9852, 
7770.852, 9853, 
7770.854, 9853, 
7770.856, 9854, 
7770.858, 9854, 
7770.86, 9855, 
7770.862, 9855, 
7770.864, 9856, 
7770.866, 9856, 
7770.868, 9857, 
7770.87, 9857, 
7770.872, 9858, 
7770.874, 9858, 
7770.876, 9858, 
7770.878, 9859, 
7770.88, 9859, 
7770.882, 9859, 
7770.884, 9860, 
7770.886, 9860, 
7770.888, 9860, 
7770.89, 9860, 
7770.892, 9861, 
7770.894, 9861, 
7770.896, 9862, 
7770.898, 9861, 
7770.9, 9861, 
7770.902, 9862, 
7770.904, 9861, 
7770.906, 9862, 
7770.908, 9862, 
7770.91, 9862, 
7770.912, 9862, 
7770.914, 9862, 
7770.916, 9862, 
7770.918, 9862, 
7770.92, 9862, 
7770.922, 9863, 
7770.924, 9864, 
7770.926, 9864, 
7770.928, 9864, 
7770.93, 9864, 
7770.932, 9863, 
7770.934, 9863, 
7770.936, 9863, 
7770.938, 9863, 
7770.94, 9863, 
7770.942, 9862, 
7770.944, 9862, 
7770.946, 9862, 
7770.948, 9861, 
7770.95, 9861, 
7770.952, 9861, 
7770.954, 9860, 
7770.956, 9860, 
7770.958, 9860, 
7770.96, 9860, 
7770.962, 9860, 
7770.964, 9859, 
7770.966, 9859, 
7770.968, 9859, 
7770.97, 9859, 
7770.972, 9859, 
7770.974, 9859, 
7770.976, 9859, 
7770.978, 9859, 
7770.98, 9858, 
7770.982, 9858, 
7770.984, 9858, 
7770.986, 9859, 
7770.988, 9859, 
7770.99, 9859, 
7770.992, 9859, 
7770.994, 9860, 
7770.996, 9859, 
7770.998, 9860, 
7771.0, 9859, 
7771.002, 9860, 
7771.004, 9860, 
7771.006, 9860, 
7771.008, 9861, 
7771.01, 9861, 
7771.012, 9861, 
7771.014, 9862, 
7771.016, 9862, 
7771.018, 9863, 
7771.02, 9863, 
7771.022, 9863, 
7771.024, 9864, 
7771.026, 9864, 
7771.028, 9864, 
7771.03, 9865, 
7771.032, 9865, 
7771.034, 9865, 
7771.036, 9865, 
7771.038, 9865, 
7771.04, 9865, 
7771.042, 9866, 
7771.044, 9866, 
7771.046, 9866, 
7771.048, 9866, 
7771.05, 9866, 
7771.052, 9867, 
7771.054, 9867, 
7771.056, 9867, 
7771.058, 9868, 
7771.06, 9868, 
7771.062, 9868, 
7771.064, 9868, 
7771.066, 9868, 
7771.068, 9869, 
7771.07, 9869, 
7771.072, 9869, 
7771.074, 9869, 
7771.076, 9870, 
7771.078, 9870, 
7771.08, 9870, 
7771.082, 9870, 
7771.084, 9870, 
7771.086, 9870, 
7771.088, 9870, 
7771.09, 9870, 
7771.092, 9870, 
7771.094, 9871, 
7771.096, 9871, 
7771.098, 9870, 
7771.1, 9871, 
7771.102, 9871, 
7771.104, 9871, 
7771.106, 9871, 
7771.108, 9871, 
7771.11, 9871, 
7771.112, 9871, 
7771.114, 9871, 
7771.116, 9871, 
7771.118, 9871, 
7771.12, 9871, 
7771.122, 9870, 
7771.124, 9871, 
7771.126, 9870, 
7771.128, 9871, 
7771.13, 9871, 
7771.132, 9871, 
7771.134, 9870, 
7771.136, 9870, 
7771.138, 9870, 
7771.14, 9870, 
7771.142, 9869, 
7771.144, 9869, 
7771.146, 9869, 
7771.148, 9868, 
7771.15, 9868, 
7771.152, 9869, 
7771.154, 9868, 
7771.156, 9868, 
7771.158, 9868, 
7771.16, 9867, 
7771.162, 9867, 
7771.164, 9867, 
7771.166, 9867, 
7771.168, 9866, 
7771.17, 9866, 
7771.172, 9866, 
7771.174, 9866, 
7771.176, 9867, 
7771.178, 9867, 
7771.18, 9867, 
7771.182, 9867, 
7771.184, 9867, 
7771.186, 9868, 
7771.188, 9868, 
7771.19, 9868, 
7771.192, 9868, 
7771.194, 9868, 
7771.196, 9868, 
7771.198, 9869, 
7771.2, 9869, 
7771.202, 9869, 
7771.204, 9869, 
7771.206, 9869, 
7771.208, 9869, 
7771.21, 9870, 
7771.212, 9870, 
7771.214, 9870, 
7771.216, 9870, 
7771.218, 9870, 
7771.22, 9870, 
7771.222, 9871, 
7771.224, 9871, 
7771.226, 9870, 
7771.228, 9871, 
7771.23, 9871, 
7771.232, 9871, 
7771.234, 9871, 
7771.236, 9871, 
7771.238, 9872, 
7771.24, 9872, 
7771.242, 9872, 
7771.244, 9872, 
7771.246, 9872, 
7771.248, 9872, 
7771.25, 9872, 
7771.252, 9872, 
7771.254, 9872, 
7771.256, 9872, 
7771.258, 9874, 
7771.26, 9874, 
7771.262, 9874, 
7771.264, 9874, 
7771.266, 9874, 
7771.268, 9873, 
7771.27, 9873, 
7771.272, 9873, 
7771.274, 9872, 
7771.276, 9871, 
7771.278, 9871, 
7771.28, 9871, 
7771.282, 9870, 
7771.284, 9870, 
7771.286, 9869, 
7771.288, 9868, 
7771.29, 9866, 
7771.292, 9865, 
7771.294, 9864, 
7771.296, 9863, 
7771.298, 9862, 
7771.3, 9861, 
7771.302, 9860, 
7771.304, 9859, 
7771.306, 9858, 
7771.308, 9857, 
7771.31, 9856, 
7771.312, 9855, 
7771.314, 9854, 
7771.316, 9853, 
7771.318, 9852, 
7771.32, 9851, 
7771.322, 9850, 
7771.324, 9849, 
7771.326, 9848, 
7771.328, 9847, 
7771.33, 9846, 
7771.332, 9845, 
7771.334, 9844, 
7771.336, 9843, 
7771.338, 9842, 
7771.34, 9841, 
7771.342, 9840, 
7771.344, 9840, 
7771.346, 9839, 
7771.348, 9838, 
7771.35, 9837, 
7771.352, 9836, 
7771.354, 9835, 
7771.356, 9834, 
7771.358, 9834, 
7771.36, 9833, 
7771.362, 9832, 
7771.364, 9831, 
7771.366, 9831, 
7771.368, 9830, 
7771.37, 9829, 
7771.372, 9828, 
7771.374, 9828, 
7771.376, 9828, 
7771.378, 9827, 
7771.38, 9826, 
7771.382, 9826, 
7771.384, 9826, 
7771.386, 9826, 
7771.388, 9826, 
7771.39, 9826, 
7771.392, 9826, 
7771.394, 9826, 
7771.396, 9826, 
7771.398, 9826, 
7771.4, 9827, 
7771.402, 9827, 
7771.404, 9827, 
7771.406, 9827, 
7771.408, 9828, 
7771.41, 9829, 
7771.412, 9829, 
7771.414, 9830, 
7771.416, 9830, 
7771.418, 9831, 
7771.42, 9831, 
7771.422, 9832, 
7771.424, 9832, 
7771.426, 9832, 
7771.428, 9834, 
7771.43, 9835, 
7771.432, 9835, 
7771.434, 9836, 
7771.436, 9836, 
7771.438, 9836, 
7771.44, 9837, 
7771.442, 9837, 
7771.444, 9837, 
7771.446, 9838, 
7771.448, 9839, 
7771.45, 9839, 
7771.452, 9840, 
7771.454, 9840, 
7771.456, 9840, 
7771.458, 9841, 
7771.46, 9841, 
7771.462, 9842, 
7771.464, 9842, 
7771.466, 9842, 
7771.468, 9843, 
7771.47, 9843, 
7771.472, 9843, 
7771.474, 9843, 
7771.476, 9843, 
7771.478, 9843, 
7771.48, 9843, 
7771.482, 9843, 
7771.484, 9843, 
7771.486, 9843, 
7771.488, 9843, 
7771.49, 9843, 
7771.492, 9843, 
7771.494, 9843, 
7771.496, 9843, 
7771.498, 9842, 
7771.5, 9842, 
7771.502, 9841, 
7771.504, 9841, 
7771.506, 9840, 
7771.508, 9840, 
7771.51, 9839, 
7771.512, 9839, 
7771.514, 9838, 
7771.516, 9837, 
7771.518, 9836, 
7771.52, 9836, 
7771.522, 9835, 
